respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.06,0.06
26708,0.1,0.1
26709,0.13,0.13
26710,0.81,0.81
26711,0.19,0.19
26712,0.51,0.51
26713,0.74,0.74
26714,0.21,0.21
26715,0.05,0.05
26716,0.18,0.18
26717,0.14,0.14
26718,0.25,0.25
26719,0.77,0.77
26720,0.14,0.14
26721,0.74,0.74
26722,0.19,0.19
26723,0.76,0.76
26724,0.53,0.53
26725,0.14,0.14
26726,0.06,0.06
26727,0.76,0.76
26728,0.15,0.15
26729,0.15,0.15
26730,0.22,0.22
26731,0.1,0.1
26732,0.69,0.69
26733,0.86,0.86
26734,0.09,0.09
26735,0.07,0.07
26736,0.11,0.11
26737,0.15,0.15
26738,0.75,0.75
26739,0.07,0.07
26740,0.08,0.08
26741,0.7,0.7
26742,0.1,0.1
26743,0.15,0.15
26744,0.19,0.19
26745,0.54,0.54
26746,0.1,0.1
26747,0.04,0.04
26748,0.1,0.1
26749,0.74,0.74
26750,0.76,0.76
26751,0.21,0.21
26752,0.16,0.16
26753,0.15,0.15
26754,0.4,0.4
26755,0.13,0.13
26756,0.04,0.04
26757,0.77,0.77
26758,0.8,0.8
26759,0.03,0.03
26760,0.07,0.07
26761,0.8,0.8
26762,0.18,0.18
26763,0.69,0.69
26764,0.76,0.76
26765,0.82,0.82
26766,0.13,0.13
26767,0.81,0.81
26768,0.76,0.76
26769,0.09,0.09
26770,0.75,0.75
26771,0.13,0.13
26772,0.1,0.1
26773,0.75,0.75
26774,0.29,0.29
26775,0.08,0.08
26776,0.69,0.69
26777,0.88,0.88
26778,0.12,0.12
26779,0.11,0.11
26780,0.89,0.89
26781,0.1,0.1
26782,0.07,0.07
26783,0.04,0.04
26784,0.51,0.51
26785,0.79,0.79
26786,0.06,0.06
26787,0.21,0.21
26788,0.77,0.77
26789,0.12,0.12
26790,0.08,0.08
26791,0.05,0.05
26792,0.22,0.22
26793,0.87,0.87
26794,0.84,0.84
26795,0.76,0.76
26796,0.06,0.06
26797,0.77,0.77
26798,0.25,0.25
26799,0.45,0.45
26800,0.94,0.94
26801,0.76,0.76
26802,0.15,0.15
26803,0.08,0.08
26804,0.04,0.04
26805,0.07,0.07
26806,0.85,0.85
26807,0.63,0.63
26808,0.22,0.22
26809,0.14,0.14
26810,0.08,0.08
26811,0.08,0.08
26812,0.39,0.39
26813,0.38,0.38
26814,0.13,0.13
26815,0.09,0.09
26816,0.14,0.14
26817,0.43,0.43
26818,0.06,0.06
26819,0.11,0.11
26820,0.07,0.07
26821,0.12,0.12
26822,0.33,0.33
26823,0.28,0.28
26824,0.78,0.78
26825,0.85,0.85
26826,0.16,0.16
26827,0.1,0.1
26828,0.41,0.41
26829,0.87,0.87
26830,0.43,0.43
26831,0.14,0.14
26832,0.73,0.73
26833,0.09,0.09
26834,0.72,0.72
26835,0.79,0.79
26836,0.44,0.44
26837,0.15,0.15
26838,0.12,0.12
26839,0.38,0.38
26840,0.03,0.03
26841,0.74,0.74
26842,0.03,0.03
26843,0.13,0.13
26844,0.13,0.13
26845,0.77,0.77
26846,0.21,0.21
26847,0.07,0.07
26848,0.3,0.3
26849,0.16,0.16
26850,0.75,0.75
26851,0.04,0.04
26852,0.1,0.1
26853,0.13,0.13
26854,0.08,0.08
26855,0.89,0.89
26856,0.08,0.08
26857,0.07,0.07
26858,0.49,0.49
26859,0.0,0.0
26860,0.13,0.13
26861,0.05,0.05
26862,0.12,0.12
26863,0.16,0.16
26864,0.17,0.17
26865,0.01,0.01
26866,0.19,0.19
26867,0.04,0.04
26868,0.3,0.3
26869,0.3,0.3
26870,0.75,0.75
26871,0.0,0.0
26872,0.72,0.72
26873,0.81,0.81
26874,0.07,0.07
26875,0.83,0.83
26876,0.07,0.07
26877,0.15,0.15
26878,0.08,0.08
26879,0.12,0.12
26880,0.07,0.07
26881,0.05,0.05
26882,0.04,0.04
26883,0.1,0.1
26884,0.29,0.29
26885,0.15,0.15
26886,0.39,0.39
26887,0.73,0.73
26888,0.89,0.89
26889,0.09,0.09
26890,0.32,0.32
26891,0.17,0.17
26892,0.23,0.23
26893,0.09,0.09
26894,0.08,0.08
26895,0.2,0.2
26896,0.05,0.05
26897,0.21,0.21
26898,0.32,0.32
26899,0.1,0.1
26900,0.08,0.08
